Gene_ID	Overall_Importance Score
27136_at	0.137757606
1787_at	0.137525887
29887_at	0.136924866
55851_at	0.136530142
8237_at	0.136153883
10321_at	0.135689859
23513_at	0.135002205
9588_at	0.134781413
7174_at	0.134362385
8029_at	0.133973581
5663_at	0.133836813
5518_at	0.133819803
26030_at	0.133254218
10336_at	0.133001834
8999_at	0.132910552
10171_at	0.132617418
11320_at	0.132443128
79869_at	0.132152094
51272_at	0.132061045
4643_at	0.131186015
4627_at	0.130872949
5268_at	0.130872452
54752_at	0.130817635
63893_at	0.130050685
3592_at	0.128329788
4583_at	0.128014555
56848_at	0.127962615
23178_at	0.127403102
64895_at	0.127361991
3399_at	0.127293594
54953_at	0.12713324
23303_at	0.127099971
29_at	0.126912396
54541_at	0.126900752
966_at	0.126865656
6015_at	0.126333413
23334_at	0.126331601
23028_at	0.126183805
25980_at	0.126123288
3485_at	0.124804685
10014_at	0.124447835
3899_at	0.124018982
64579_at	0.123618223
2314_at	0.123410357
9679_at	0.123038197
51385_at	0.122718367
2232_at	0.122655763
26289_at	0.122498391
2181_at	0.121953653
6895_at	0.120926146
81544_at	0.120926146
9742_at	0.120811688
51442_at	0.120605011
489_at	0.120573859
90141_at	0.119648626
6901_at	0.118917406
23119_at	0.118458266
140_at	0.118218542
27284_at	0.117353639
10989_at	0.117261717
23141_at	0.11693957
57238_at	0.116475972
54855_at	0.115768633
4081_at	0.115215745
5610_at	0.115172917
9786_at	0.115167758
587_at	0.114566252
27005_at	0.114509657
5325_at	0.114208027
23136_at	0.114085355
4329_at	0.114016081
7094_at	0.113620119
113251_at	0.112163382
314_at	0.11199704
6416_at	0.111628477
3493_at	0.111323479
57419_at	0.111235473
26523_at	0.110550546
3858_at	0.110526139
26211_at	0.11043436
55841_at	0.110286802
55505_at	0.11016813
9344_at	0.10993286
11264_at	0.109607935
23316_at	0.109357187
1495_at	0.109208978
23589_at	0.109200181
5627_at	0.108898436
8339_at	0.108820711
2992_at	0.108634532
AFF.BioDn.3_at	0.108543116
8803_at	0.108275142
80224_at	0.108226924
9212_at	0.108042909
1628_at	0.107660221
51079_at	0.10760259
9404_at	0.107482437
10982_at	0.107427268
11285_at	0.107361943
8602_at	0.106669814
9421_at	0.10611264
29103_at	0.105868985
55787_at	0.105840865
10817_at	0.10552296
55178_at	0.105392544
10254_at	0.10480266
8869_at	0.104646353
6949_at	0.104509515
327_at	0.104439518
4942_at	0.104138494
7638_at	0.103850534
79627_at	0.103685043
5128_at	0.103381759
11201_at	0.103373962
983_at	0.102925645
51005_at	0.102915869
7431_at	0.102915869
818_at	0.102649524
23198_at	0.102617979
79585_at	0.102426379
64240_at	0.102121804
10942_at	0.102080513
23632_at	0.101982827
2027_at	0.101457311
2800_at	0.10112291
26515_at	0.101113929
2077_at	0.100245813
3772_at	0.100026852
10432_at	0.100014106
22827_at	0.100014106
55905_at	0.100014106
256227_at	0.099901194
115_at	0.099604548
142_at	0.099604548
3615_at	0.099604548
4926_at	0.099604548
6981_at	0.099604548
23030_at	0.099410253
5914_at	0.099410253
2902_at	0.099139367
4281_at	0.099046707
29894_at	0.09888673
10223_at	0.098805927
10562_at	0.098796872
154661_at	0.098639522
1107_at	0.098231323
916_at	0.098231323
149111_at	0.097727678
54739_at	0.096912729
1803_at	0.096740917
7280_at	0.096740917
5096_at	0.096637006
81853_at	0.096057523
79813_at	0.095284094
3426_at	0.094814214
3082_at	0.094558791
9710_at	0.094295598
3275_at	0.092134207
55296_at	0.091799055
3036_at	0.090854565
283232_at	0.090804553
23243_at	0.090459539
AFF.BioC.5_at	0.089800569
10381_at	0.089797239
7188_at	0.089428893
3957_at	0.089402794
1490_at	0.089241945
5436_at	0.089037258
9185_at	0.089024507
5214_at	0.088993406
54806_at	0.088916991
79818_at	0.088450264
6136_at	0.088110833
84516_at	0.087746863
6424_at	0.087682539
6386_at	0.087617824
3449_at	0.08749454
5339_at	0.087219508
10981_at	0.087021924
80168_at	0.087004104
10299_at	0.086725838
114908_at	0.086375819
6036_at	0.086351913
8661_at	0.086068721
57101_at	0.085641352
